PlotsOrig2016,PlotsMod2016,Plots2017,Location,Treated,Latitude,Longitude,UTM_N_Corr,UTM_E_Corr,Forest,District,Elevation_,Elevation1,PlotID,Completed?
109002,109002,109002,South Fork,Y,38.12008925,-120.1288987,4223033.965,751688.698,Stanislaus,MiWok,1539.631205,5049.990352,109002,
109004,109004,109004,South Fork,Y,38.1165719,-120.1315823,4222636.301,751465.476,Stanislaus,MiWok,1515.25929,4970.050471,109004,
109005,109005,109005,South Fork,Y,38.11926422,-120.129463,4222940.865,751642.052,Stanislaus,MiWok,1533.731271,5030.638567,109005,
109006,109006,109006,South Fork,Y,38.12110394,-120.1283352,4223148.113,751734.62,Stanislaus,MiWok,1540.092361,5051.502944,109006,
109007,109007,109007,South Fork,Y,38.11774026,-120.1281073,4222775.405,751766.165,Stanislaus,MiWok,1485.261317,4871.65712,109007,
109008,109008,109008,South Fork,Y,38.11937743,-120.1271509,4222959.708,751844.393,Stanislaus,MiWok,1493.975989,4900.241243,109008,
109009,109009,109009,South Fork,Y,38.121275,-120.1260877,4223173.203,751931.089,Stanislaus,MiWok,1506.625154,4941.730505,109009,
109010,109010,109010,South Fork,Y,38.12211632,-120.1261342,4223266.453,751924.123,Stanislaus,MiWok,1519.600902,4984.290958,109010,
155101,155101,155101,Granddad,Y,37.40787734,-119.6032039,4143301.957,269599.274,Sierra,Bass Lake,1464.737258,4804.338206,155101,
155102,155102,155102,Granddad,Y,37.40785207,-119.6037851,4143300.574,269547.751,Sierra,Bass Lake,1449.384261,4753.980376,155102,
155103,155103,155103,Granddad,Y,37.40778244,-119.6043012,4143294.109,269501.848,Sierra,Bass Lake,1437.108665,4713.71642,155103,Y
155104,155104,155104,Granddad,Y,37.40740714,-119.6042253,4143252.276,269507.418,Sierra,Bass Lake,1437.768842,4715.881802,155104,Y
155105,155105,155105,Granddad,Y,37.40742452,-119.6037155,4143252.958,269552.596,Sierra,Bass Lake,1447.984297,4749.388494,155105,Y
155106,155106,155106,Granddad,Y,37.40831123,-119.6032244,4143350.156,269598.791,Sierra,Bass Lake,1453.295126,4766.808012,155106,Y
155107,155107,155107,Granddad,Y,37.40824898,-119.6037556,4143344.547,269551.581,Sierra,Bass Lake,1441.919485,4729.495912,155107,Y
155108,155108,155108,Granddad,Y,37.40470784,-119.6030786,4142949.927,269600.656,Sierra,Bass Lake,1446.869732,4745.732722,155108,Y
1551112,155111,155111,Granddad,N,37.41229447,-119.6040378,4143794.17,269539.004,Sierra,Bass Lake,1438.852216,4719.435268,1551112,Y
1551122,155112,155112,Granddad,N,37.41278286,-119.6038991,4143848.028,269552.774,Sierra,Bass Lake,1445.741463,4742.031998,1551122,Y
1551132,155113,155113,Granddad,N,37.41181437,-119.605007,4143743.264,269451.738,Sierra,Bass Lake,1425.342445,4675.12322,1551132,
1551142,155114,155114,Granddad,N,37.41095944,-119.604958,4143648.271,269453.447,Sierra,Bass Lake,1437.200675,4714.018215,1551142,
1551152,155115,155115,Granddad,N,37.41138724,-119.6050333,4143695.929,269448.1,Sierra,Bass Lake,1429.96065,4690.270933,1551152,
155131,155131,155131,Pine Grove,Y,37.21253443,-119.4223418,4121198.796,285053.572,Sierra,Bass Lake,1380.641669,4528.504674,155131,
155132,155132,155132,Pine Grove,Y,37.21254865,-119.4218148,4121199.177,285100.38,Sierra,Bass Lake,1375.864822,4512.836615,155132,
155133,155133,155133,Pine Grove,Y,37.21211016,-119.4206333,4121147.839,285203.995,Sierra,Bass Lake,1370.407379,4494.936203,155133,
155134,155134,155134,Pine Grove,Y,37.21208502,-119.4212401,4121146.426,285150.073,Sierra,Bass Lake,1377.702604,4518.86454,155134,
155135,155135,155135,Pine Grove,Y,37.2112263,-119.4212294,4121051.115,285148.586,Sierra,Bass Lake,1374.748327,4509.174513,155135,
155136,155136,155136,Pine Grove,Y,37.21168846,-119.4212467,4121102.438,285148.362,Sierra,Bass Lake,1380.061873,4526.602942,155136,
155137,155137,155137,Pine Grove,Y,37.21166346,-119.4217421,4121100.788,285104.318,Sierra,Bass Lake,1381.261858,4530.538895,155137,
155138,155138,155138,Pine Grove,Y,37.2120892,-119.4223533,4121149.417,285051.289,Sierra,Bass Lake,1384.79051,4542.112874,155138,
1551412,155141,155141,Pine Grove,N,37.2071453,-119.4219073,4120599.81,285076.832,Sierra,Bass Lake,1297.998913,4257.436435,1551412,
1551422,155142,155142,Pine Grove,N,37.20669629,-119.4219136,4120550,285075,Sierra,Bass Lake,1295.920638,4250.619692,1551422,
1551432,155143,155143,Pine Grove,N,37.20668138,-119.4213696,4120547.111,285123.241,Sierra,Bass Lake,1293.926443,4244.078733,1551432,
1551442,155144,155144,Pine Grove,N,37.20625126,-119.4218829,4120500.548,285076.463,Sierra,Bass Lake,1294.201176,4244.979856,1551442,
1551462,155146,155146,Pine Grove,N,37.20536359,-119.4218209,4120401.908,285079.445,Sierra,Bass Lake,1289.212893,4228.61829,1551462,
1551472,155147,155147,Pine Grove,N,37.20620297,-119.421322,4120493.916,285126.114,Sierra,Bass Lake,1294.759582,4246.81143,1551472,
1551482,155148,155148,Pine Grove,N,37.20578873,-119.4213267,4120447.961,285124.517,Sierra,Bass Lake,1292.764107,4240.266272,1551482,
1551492,155149,155149,Pine Grove,N,37.205321,-119.4212849,4120395.965,285126.902,Sierra,Bass Lake,1287.607041,4223.351095,1551492,
155151,155151,155151,Foster16,Y,37.25913285,-119.389486,4126295.436,288100.052,Sierra,Bass Lake,1623.694421,5325.717702,155151,
155152,155152,155152,Foster16,Y,37.25958163,-119.389544,4126345.365,288096.163,Sierra,Bass Lake,1631.49201,5351.293794,155152,
155153,155153,155153,Foster16,Y,37.26006769,-119.3895191,4126399.244,288099.734,Sierra,Bass Lake,1637.397348,5370.6633,155153,
155154,155154,155154,Foster16,Y,37.25961126,-119.3888814,4126347.168,288155.014,Sierra,Bass Lake,1633.113154,5356.611144,155154,Y
155155,155155,155155,Foster16,Y,37.26052267,-119.3889714,4126448.504,288149.583,Sierra,Bass Lake,1648.951098,5408.559603,155155,Y
155156,155156,155156,Foster16,Y,37.2596837,-119.3861533,4126349.099,288397.18,Sierra,Bass Lake,1651.117612,5415.665766,155156,Y
155157,155157,155157,Foster16,Y,37.25965527,-119.3866798,4126347.122,288350.409,Sierra,Bass Lake,1652.84535,5421.33275,155157,Y
155158,155158,155158,Foster16,Y,37.2592282,-119.3866482,4126299.662,288352.009,Sierra,Bass Lake,1642.210407,5386.450134,155158,Y
1551612,155161,155161,Foster16,N,37.25295867,-119.3852941,4125600.94,288454.572,Sierra,Bass Lake,1565.257932,5134.046017,1551612,Y
1551622,155162,155162,Foster16,N,37.25296643,-119.3846815,4125600.432,288508.932,Sierra,Bass Lake,1564.745117,5132.363985,1551622,Y
1551632,155163,155163,Foster16,N,37.25296544,-119.3842124,4125599.273,288550.54,Sierra,Bass Lake,1564.916946,5132.927585,1551632,Y
1551642,155164,155164,Foster16,N,37.252439,-119.3853257,4125543.347,288450.315,Sierra,Bass Lake,1550.381564,5085.251531,1551642,
1551652,155165,155165,Foster16,N,37.25251237,-119.3858542,4125552.67,288403.64,Sierra,Bass Lake,1563.527656,5128.370712,1551652,
1551662,155166,155166,Foster16,N,37.2525666,-119.3846628,4125556.023,288509.466,Sierra,Bass Lake,1553.206916,5094.518684,1551662,Y
1551672,155167,155167,Foster16,N,37.25254133,-119.3841762,4125552.131,288552.562,Sierra,Bass Lake,1553.978951,5097.05096,1551672,Y
1551682,155168,155168,Foster16,N,37.25201735,-119.3852149,4125496.311,288458.965,Sierra,Bass Lake,1543.051433,5061.208702,1551682,Y
167601,167601,167601,Long Shanahan,Y,37.82161857,-120.1708869,4189795.15,749014.352,Stanislaus,Groveland,948.2105374,3110.130563,167601,Y
167603,167603,167603,Long Shanahan,Y,37.8213551,-120.1738123,4189758.109,748757.695,Stanislaus,Groveland,971.3859318,3186.145856,167603,Y
167605,167605,167605,Long Shanahan,Y,37.81914368,-120.176185,4189506.36,748556.239,Stanislaus,Groveland,1004.695671,3295.4018,167605,Y
167606,167606,167606,Long Shanahan,Y,37.82092542,-120.1761321,4189704.242,748554.916,Stanislaus,Groveland,971.8994495,3187.830194,167606,Y
167616,167616,167616,Long Shanahan,Y,37.8195336,-120.1756512,4189551.055,748601.923,Stanislaus,Groveland,996.0952907,3267.192554,167616,Y
167621,167621,167621,Long Shanahan,Y,37.82130517,-120.1744025,4189750.995,748705.909,Stanislaus,Groveland,967.4418243,3173.209184,167621,
167625,167625,167625,Long Shanahan,Y,37.82170916,-120.1727064,4189800.351,748853.871,Stanislaus,Groveland,965.2322585,3165.961808,167625,
167644,167644,167644,Long Shanahan,Y,37.82254059,-120.1699946,4189899.859,749089.803,Stanislaus,Groveland,937.3590455,3074.537669,167644,
241000,241000,241000,Studhorse North,Y,37.53304453,-119.6273392,4157251.377,267850.512,Yosemite,,1388.300819,4553.626685,241000,
242000,242000,242000,Studhorse North,Y,37.53304911,-119.6279225,4157253.327,267798.977,Yosemite,,1392.04207,4565.89799,242000,
243000,243000,243000,Studhorse North,Y,37.53389365,-119.6279257,4157347.057,267801.309,Yosemite,,1377.574727,4518.445103,243000,
244000,244000,245000,Studhorse North,Y,37.5347658,-119.6279475,4157443.896,267802.094,Yosemite,,1363.891197,4473.563127,244000,
247000,247000,247000,Studhorse North,Y,37.53339178,-119.6307545,4157298.356,267549.762,Yosemite,,1393.143588,4569.51097,247000,
248000,248000,248000,Studhorse North,Y,37.53383575,-119.6307824,4157347.694,267548.668,Yosemite,,1389.444887,4557.379229,248000,Y
249000,249000,249000,Studhorse North,Y,37.53429568,-119.6307768,4157398.721,267550.593,Yosemite,,1381.414331,4531.039007,249000,Y
301000,301000,301000,Studhorse North,N,37.53614368,-119.6274916,4157595.678,267846.659,Yosemite,,1342.539394,4403.529212,301000,
302000,302000,302000,Studhorse North,N,37.53528152,-119.6273867,4157499.741,267853.253,Yosemite,,1353.83691,4440.585065,302000,
304000,304000,304000,Studhorse North,N,37.53578808,-119.6263461,4157553.386,267946.779,Yosemite,,1347.365675,4419.359413,304000,Y
305000,305000,305000,Studhorse North,N,37.53615352,-119.6252145,4157591.146,268047.92,Yosemite,,1342.915904,4404.764167,305000,
307000,307000,307000,Studhorse North,N,37.53529442,-119.624078,4157493.004,268145.686,Yosemite,,1367.212008,4484.455385,307000,Y
308000,308000,308000,Studhorse North,N,37.53534266,-119.6234875,4157496.9,268198.023,Yosemite,,1364.554134,4475.73756,308000,
311000,311000,311000,Studhorse North,N,37.53221119,-119.62448,4157151.839,268100.604,Yosemite,,1421.621077,4662.917134,311000,Y
312000,312000,312000,Studhorse North,N,37.53227966,-119.621061,4157151.005,268402.978,Yosemite,,1430.463202,4691.919302,312000,Y
362002,362002,362002,Lincoln,Y,38.65839137,-120.4595378,4281931.478,721053.006,Eldorado,Pacific,1548.720523,5079.803316,362002,Y
362012,362012,362012,Lincoln,Y,38.65969004,-120.4594487,4282075.83,721056.761,Eldorado,Pacific,1546.615772,5072.899731,362012,Y
362014,362014,362014,Lincoln,Y,38.65774937,-120.470402,4281834.075,720109.509,Eldorado,Pacific,1536.35514,5039.244858,362014,Y
362015,362015,362015,Lincoln,Y,38.65816932,-120.4704502,4281880.569,720104.025,Eldorado,Pacific,1538.575598,5046.527961,362015,Y
362026,362026,362026,Lincoln,Y,38.65905906,-120.4698234,4281980.825,720155.85,Eldorado,Pacific,1540,5051.2,362026,Y
362027,362027,362027,Lincoln,Y,38.65904121,-120.4692446,4281980.235,720206.272,Eldorado,Pacific,1539.962707,5051.077679,362027,
362034,362034,362034,Lincoln,Y,38.6594044,-120.4686413,4282021.994,720257.663,Eldorado,Pacific,1540,5051.2,362034,
362035,362035,362035,Lincoln,Y,38.65932563,-120.4599757,4282034.114,721012.023,Eldorado,Pacific,1548.090253,5077.736031,362035,
402000,402000,402000,Lily gap phase 1,Y,38.4205346,-120.4989051,4255438.447,718345.5,BLM,,977.5077196,3206.22532,402000,Y
404000,404000,404000,Lily gap phase 1,Y,38.42098507,-120.4988068,4255488.676,718352.73,BLM,,987.9650548,3240.52538,404000,Y
405201,405201,405201,Barnes Mountain,Y,37.03402434,-119.2413305,4100995.912,300650.036,Sierra,High Sierra,1070.275651,3510.504135,405201,Y
405202,405202,405202,Barnes Mountain,Y,37.03363615,-119.2412787,4100952.731,300653.63,Sierra,High Sierra,1078.111024,3536.204159,405202,Y
405204,405204,405204,Barnes Mountain,Y,37.03270601,-119.2413245,4100849.621,300647.123,Sierra,High Sierra,1092.332754,3582.851435,405204,
405205,405205,405205,Barnes Mountain,Y,37.03406022,-119.2418915,4101001.07,300600.225,Sierra,High Sierra,1069.655268,3508.469278,405205,
405206,405206,405206,Barnes Mountain,Y,37.03361638,-119.2418371,4100951.708,300603.903,Sierra,High Sierra,1080.279594,3543.317067,405206,
405207,405207,405207,Barnes Mountain,Y,37.03316728,-119.2418735,4100901.954,300599.492,Sierra,High Sierra,1095.567507,3593.461425,405207,
405208,405208,405208,Barnes Mountain,Y,37.03271111,-119.2418444,4100851.277,300600.885,Sierra,High Sierra,1103.23441,3618.608865,405208,
405210,405210,405210,Barnes Mountain,Y,37.03361822,-119.2402044,4100948.489,300749.146,Sierra,High Sierra,1067.443183,3501.213642,405210,
410000,410000,410000,Lily gap phase 1,Y,38.42145022,-120.498368,4255541.34,718389.6353,BLM,,1000.382482,3281.254539,410000,
411000,411000,411000,Lily gap phase 1,Y,38.42142194,-120.4977661,4255539.629,718442.278,BLM,,1001.081764,3283.548184,411000,
414000,414000,414000,Lily gap phase 1,Y,38.42185092,-120.5018402,4255577.586,718085.267,BLM,,957.1982487,3139.610256,414000,
432000,432000,432000,Lily gap phase 1,Y,38.41801862,-120.4960429,4255166,718603,BLM,,972.806042,3190.803818,432000,
435000,435000,435000,Lily gap phase 1,Y,38.41863601,-120.4960186,4255234.579,718603.26,BLM,,967.5603919,3173.598086,435000,
439000,439000,439000,Lily gap phase 1,Y,38.41915958,-120.4954652,4255294,718650,BLM,,976.712949,3203.618473,439000,Y
561000,561000,561000,Lily gap phase 2,N,38.4374321,-120.4856147,4257345.395,719454.739,BLM,,1148.689892,3767.702847,561000,Y
562000,562000,562000,Lily gap phase 2,N,38.43778439,-120.4852509,4257385.36,719485.426,BLM,,1148.828653,3768.157981,562000,
564000,564000,564000,Lily gap phase 2,N,38.43809884,-120.4886648,4257412.129,719186.475,BLM,,1132.795887,3715.570511,564000,Y
570000,570000,570000,Lily gap phase 2,N,38.43858665,-120.4875862,4257468.836,719279.1444,BLM,,1139.413437,3737.276073,570000,Y
632000,632000,632000,Bummerville,N,38.40710372,-120.502001,4253940.5,718115.598,BLM,,911.7603054,2990.573802,632000,
634000,634000,634000,Bummerville,N,38.40754838,-120.5020213,4253989.802,718112.4886,BLM,,915.4226266,3002.586215,634000,Y
636000,636000,636000,Bummerville,N,38.40844299,-120.5020235,4254089.084,718109.6,BLM,,925.7114301,3036.333491,636000,Y
637000,637000,637000,Bummerville,N,38.40889774,-120.5020304,4254139.538,718107.6345,BLM,,931.3278704,3054.755415,637000,
1090012,1090012,1090012,South Fork,N,38.11205473,-120.1303058,4222138.414,751592.913,Stanislaus,MiWok,1474.209667,4835.407706,1090012,
1090042,1090042,1090042,South Fork,N,38.11296484,-120.1291785,4222242.484,751688.643,Stanislaus,MiWok,1476.87561,4844.152,1090042,Y
1090082,1090082,1090082,South Fork,N,38.1120839,-120.1314075,4222138.663,751496.207,Stanislaus,MiWok,1457.685377,4781.208038,1090082,Y
1090092,1090092,1090092,South Fork,N,38.11294864,-120.1303039,4222237.632,751590.017,Stanislaus,MiWok,1457.272656,4779.85431,1090092,
1090122,1090122,1090122,South Fork,N,38.11414661,-120.1363693,4222354.153,751054.044,Stanislaus,MiWok,1509.453935,4951.008905,1090122,
1090132,1090132,1090132,South Fork,N,38.11298092,-120.1368044,4222223.598,751019.88,Stanislaus,MiWok,1491.791999,4893.077758,1090132,
1090142,1090142,1090142,South Fork,N,38.11283847,-120.1359875,4222210,751092,Stanislaus,MiWok,1484.007444,4867.544416,1090142,
1090152,1090152,1090152,South Fork,N,38.11376321,-120.1337774,4222318.621,751282.633,Stanislaus,MiWok,1479.062054,4851.323537,1090152,
1510206,1510206,1510206,Granddad,Y,37.42041505,-119.587195,4144654.257,271054.622,Sierra,Bass Lake,1570.542404,5151.379084,1510206,
1510207,1510207,1510207,Granddad,Y,37.42038829,-119.5866818,4144650.04,271099.958,Sierra,Bass Lake,1570.70414,5151.909578,1510207,
1510210,1510210,1510210,Granddad,Y,37.41990194,-119.5872479,4144597.445,271048.375,Sierra,Bass Lake,1564.882017,5132.813017,1510210,Y
1676112,1676112,1676112,Long Shanahan,N,37.81646678,-120.1627391,4189245.159,749749.035,Stanislaus,Groveland,965.6624819,3167.372941,1676112,Y
1676122,1676122,1676122,Long Shanahan,N,37.81692007,-120.1627371,4189295.471,749747.676,Stanislaus,Groveland,962.4066717,3156.693883,1676122,Y
1676132,1676132,1676132,Long Shanahan,N,37.81739667,-120.1627311,4189348.381,749746.597,Stanislaus,Groveland,956.0264843,3135.766868,1676132,Y
1676142,1676142,1676142,Long Shanahan,N,37.81692408,-120.163319,4189294.36,749696.436,Stanislaus,Groveland,962.1697425,3155.916755,1676142,Y
1676152,1676152,1676152,Long Shanahan,N,37.81650624,-120.1605063,4189255.514,749945.477,Stanislaus,Groveland,944.4147354,3097.680332,1676152,Y
1676502,1676502,1676502,Long Shanahan,N,37.81593576,-120.1616394,4189189.167,749847.646,Stanislaus,Groveland,964.1469472,3162.401987,1676502,Y
1676522,1676522,1676522,Long Shanahan,N,37.815988,-120.1606865,4189197.515,749931.363,Stanislaus,Groveland,951.3222769,3120.337068,1676522,Y
1676582,1676582,1676582,Long Shanahan,N,37.81852674,-120.1614297,4189477.282,749857.366,Stanislaus,Groveland,931.854416,3056.482484,1676582,
1760101,1760101,1760101,Omanuel Multiprod,Y,38.22000746,-120.3910118,4233444.184,728394.863,Stanislaus,Calaveras,1068.115047,3503.417354,1760101,
1760106,1760106,1760106,Omanuel Multiprod,Y,38.22045055,-120.389207,4233497.816,728551.494,Stanislaus,Calaveras,1109.267621,3638.397798,1760106,
1760116,1760116,1760116,Omanuel Multiprod,Y,38.22128138,-120.3880941,4233592.774,728646.33,Stanislaus,Calaveras,1131.811061,3712.340281,1760116,
1760118,1760118,1760118,Omanuel Multiprod,Y,38.22126816,-120.3869258,4233594.195,728748.665,Stanislaus,Calaveras,1135.849593,3725.586666,1760118,
1760606,1760606,1760606,Omanuel Multiprod,Y,38.20467354,-120.390378,4231743.939,728498.332,Stanislaus,Calaveras,1167.630384,3829.82766,1760606,
1760611,1760611,1760611,Omanuel Multiprod,Y,38.20512117,-120.389815,4231795.008,728546.241,Stanislaus,Calaveras,1164.391471,3819.204024,1760611,Y
1760613,1760613,1760613,Omanuel Multiprod,Y,38.20554702,-120.3903327,4231840.992,728499.567,Stanislaus,Calaveras,1172.455573,3845.65428,1760613,
1760622,1760622,1760622,Omanuel Multiprod,Y,38.20644731,-120.3880865,4231946.457,728693.46,Stanislaus,Calaveras,1172.70786,3846.481782,1760622,
3620022,3620022,3620022,Lincoln,N,38.65501308,-120.4636579,4281546.597,720704.83,Eldorado,Pacific,1517.060582,4975.958709,3620022,
3620032,3620032,3620032,Lincoln,N,38.65499546,-120.4630893,4281546.01,720754.367,Eldorado,Pacific,1518.189811,4979.662581,3620032,
3620042,3620042,3620042,Lincoln,N,38.65506674,-120.4625625,4281555.19,720799.99,Eldorado,Pacific,1520.065029,4985.813296,3620042,
3620062,3620062,3620062,Lincoln,N,38.65507201,-120.4613362,4281558.73,720906.702,Eldorado,Pacific,1521.678716,4991.106189,3620062,
3620072,3620072,3620072,Lincoln,N,38.65503782,-120.4607926,4281556.246,720954.117,Eldorado,Pacific,1525.761283,5004.497008,3620072,
3620252,3620252,3620252,Lincoln,N,38.65637287,-120.4644143,4281695.696,720634.823,Eldorado,Pacific,1535.359771,5035.980048,3620252,
3620082,3620082,3620282,Lincoln,N,38.65508499,-120.4602244,4281562.851,721003.425,Eldorado,Pacific,1532.207222,5025.639688,3620082,
3620302,3620302,3620302,Lincoln,N,38.65637505,-120.4609332,4281704.324,720937.769,Eldorado,Pacific,1536.161959,5038.611226,3620302,
4022012,4022012,4022012,Blue Canyon3C,N,37.03435855,-119.2233128,4100995.365,302253.669,Sierra,High Sierra,1248.06381,4093.649296,4022012,Y
4022022,4022022,4022022,Blue Canyon3C,N,37.03482809,-119.2233342,4101047.509,302252.986,Sierra,High Sierra,1248.684455,4095.685011,4022022,
4022042,4022042,4022042,Blue Canyon3C,N,37.03578385,-119.2233725,4101153.637,302252.058,Sierra,High Sierra,1254.29765,4114.096293,4022042,Y
4022052,4022052,4022052,Blue Canyon3C,N,37.03445104,-119.2227528,4101004.463,302303.722,Sierra,High Sierra,1256.525075,4121.402246,4022052,Y
4022062,4022062,4022062,Blue Canyon3C,N,37.03485427,-119.2227716,4101049.243,302303.098,Sierra,High Sierra,1256.337629,4120.787423,4022062,
4022072,4022072,4022072,Blue Canyon3C,N,37.03531851,-119.2228009,4101100.815,302301.693,Sierra,High Sierra,1254.450328,4114.597076,4022072,Y
4022082,4022082,4022082,Blue Canyon3C,N,37.03598418,-119.2228426,4101174.762,302299.71,Sierra,High Sierra,1261.801793,4138.70988,4022082,Y
4022092,4022092,4022092,Blue Canyon3C,N,37.03440894,-119.2221813,4100998.603,302354.449,Sierra,High Sierra,1256.035764,4119.797305,4022092,Y
